"name","caption","isglobal","note"
"ambience breaker manor01",,,
"ambience breaker manor02",,,
"ambience breaker manor03",,,
"ambience breaker manor04",,,
"ambience breaker manor05",,,
"ambience breaker manor06",,,
"ambience breaker manor07",,,
"ambience breaker manor08",,,
"ambience breaker manor09",,,
"ambience breaker manor10",,,
"ambience breaker manor11",,,
"ambience breaker manor12",,,
"ambience breaker manor13",,,
"ambience breaker manor14",,,
"ambience breaker museum elevator shaft01",,,
"ambience breaker museum elevator shaft02",,,
"ambience breaker museum elevator shaft03",,,
"ambience breaker museum sub floor01",,,
"ambience breaker museum sub floor02",,,
"ambience breaker museum sub floor03",,,
"ambience breaker museum sub floor04",,,
"ambience breaker museum sub floor05",,,
"ambience breaker museum01",,,
"ambience breaker museum02",,,
"ambience breaker museum03",,,
"ambience breaker museum04",,,
"ambience breaker museum05",,,
"ambience breaker museum06",,,
"ambience breaker museum07",,,
"ambience breaker museum08",,,
"ambience breaker museum09",,,
"ambience breaker museum10",,,
"ambience breaker museum11",,,
"ambience breaker museum12",,,
"ambience breaker museum13",,,
"ambience breaker museum14",,,
"ambience breaker museum15",,,
"ambience breaker museum16",,,
"ambience breaker museum17",,,
"ambience breaker shop harbor01",,,
"ambience breaker shop harbor02",,,
"ambience breaker shop harbor03",,,
"ambience breaker wizard01",,,
"ambience breaker wizard02",,,
"ambience breaker wizard03",,,
"ambience breaker wizard04",,,
"ambience breaker wizard05",,,
"ambience breaker wizard06",,,
"Ambience Loop Arctic Default",,,
"Ambience Loop Arctic Distant Mechanical",,,
"Ambience Loop Arctic Generic Machinery2",,,
"Ambience Loop Arctic Outside",,,
"Ambience Loop Arctic Water Facility",,,
"Ambience Loop Arctic Water Facility_0",,,
"Ambience Loop Creep Whisper Close",,,
"Ambience Loop Manor Default",,,
"Ambience Loop Manor Outside By Window",,,
"Ambience Loop Manor Outside Creaky Metal",,,
"Ambience Loop Manor Outside Crickets",,,
"Ambience Loop Manor Outside Crickets_0",,,
"Ambience Loop Manor Outside",,,
"Ambience Loop Museum Elevator Shaft",,,
"Ambience Loop Museum Hell",,,
"Ambience Loop Museum Maint",,,
"Ambience Loop Museum Maintenance Tunnel",,,
"Ambience Loop Museum Outsidet",,,
"Ambience Loop Shop Dead Forest",,,
"Ambience Loop Shop Default",,,
"Ambience Loop Shop Harbor",,,
"Ambience Loop Truck Driving",,,
"Ambience Loop Underground",,,
"Ambience Loop Water Drip Close",,,
"Ambience Loop Wizard Default",,,
"arctic door close heavy01",,,
"arctic door close heavy01_0",,,
"arctic door close heavy02",,,
"arctic door close heavy03",,,
"arctic door close01",,,
"arctic door close02",,,
"arctic door close03",,,
"arctic door hinge break01","[door hinge breaking]",,
"arctic door hinge break02","[door hinge breaking]",,
"arctic door hinge break03","[door hinge breaking]",,
"arctic door move end01",,,
"arctic door move end01_0",,,
"arctic door move end02",,,
"arctic door move end02_0",,,
"arctic door move end03",,,
"arctic door move loop",,,
"arctic door open01",,,
"arctic door open01_0",,,
"arctic door open02",,,
"arctic door open03",,,
"arena crown open sound","[crown stands opening]",,
"arena player dead sound",,,
"arena player death","[semibot death]",,
"arena race countdown 1",,,
"arena race countdown end",,,
"arena_music_everyone_loser_temp",,,
"arena_music_temp",,,
"arena_music_victory_jingle_temp",,,
"Balloon - Break - Heavy01",,,
"Balloon - Break - Heavy02",,,
"Balloon - Break - Heavy03",,,
"Balloon - Break - Light01",,,
"Balloon - Break - Light02",,,
"Balloon - Break - Light03",,,
"Balloon - Break - Medium01",,,
"Balloon - Break - Medium02",,,
"Balloon - Break - Medium03",,,
"Balloon - Destroy01","[balloon popping]",,
"Balloon - Impact - Heavy01",,,
"Balloon - Impact - Heavy02",,,
"Balloon - Impact - Heavy03",,,
"Balloon - Impact - Light01",,,
"Balloon - Impact - Light02",,,
"Balloon - Impact - Light03",,,
"Balloon - Impact - Medium01",,,
"Balloon - Impact - Medium02",,,
"Balloon - Impact - Medium03",,,
"baseball bat hit","[baseball bat hitting]",,
"Basket Ball - Break - Heavy01",,,
"Basket Ball - Break - Heavy02",,,
"Basket Ball - Break - Heavy03",,,
"Basket Ball - Break - Light01",,,
"Basket Ball - Break - Light02",,,
"Basket Ball - Break - Light03",,,
"Basket Ball - Break - Medium01",,,
"Basket Ball - Break - Medium02",,,
"Basket Ball - Break - Medium03",,,
"Basket Ball - Destroy01","[basketball breaking]",,
"Basket Ball - Impact - Heavy01",,,
"Basket Ball - Impact - Heavy02",,,
"Basket Ball - Impact - Heavy03",,,
"Basket Ball - Impact - Light01",,,
"Basket Ball - Impact - Light02",,,
"Basket Ball - Impact - Light03",,,
"Basket Ball - Impact - Medium01",,,
"Basket Ball - Impact - Medium02",,,
"Basket Ball - Impact - Medium03",,,
"Battery Charge Beep","[battery charge beeping]",,
"Battery Drain Beep","[battery drains beeping]",,
"Battery Low Beep","[battery low beeping]",,
"Battery Low Warning","[battery low warning]",,
"boombox music local","[boombox music playing]",,
"boombox music robe","[boombox music playing]",,
"Bottle Pack - Break - Heavy01",,,
"Bottle Pack - Break - Heavy02",,,
"Bottle Pack - Break - Heavy03",,,
"Bottle Pack - Break - Light01",,,
"Bottle Pack - Break - Light02",,,
"Bottle Pack - Break - Light03",,,
"Bottle Pack - Break - Medium01",,,
"Bottle Pack - Break - Medium02",,,
"Bottle Pack - Break - Medium03",,,
"Bottle Pack - Destroy01","[bottle pack breaking]",,
"Bottle Pack - Destroy02","[bottle pack breaking]",,
"Bottle Pack - Destroy03","[bottle pack breaking]",,
"Bottle Pack - Impact - Heavy01",,,
"Bottle Pack - Impact - Heavy02",,,
"Bottle Pack - Impact - Heavy03",,,
"Bottle Pack - Impact - Light01",,,
"Bottle Pack - Impact - Light02",,,
"Bottle Pack - Impact - Light03",,,
"Bottle Pack - Impact - Medium01",,,
"Bottle Pack - Impact - Medium02",,,
"Bottle Pack - Impact - Medium03",,,
"bullet ricochet01",,,
"bullet ricochet02",,,
"bullet ricochet03",,,
"camera glitch long01",,,
"camera glitch long02",,,
"camera glitch long03",,,
"camera glitch long04",,,
"camera glitch long05",,,
"camera glitch short01",,,
"camera glitch short02",,,
"camera glitch short03",,,
"camera glitch short04",,,
"camera glitch short05",,,
"camera intro run",,,
"camera intro",,,
"camera outro run",,,
"camera outro",,,
"car door - car door close01",,,
"car door - car door close02",,,
"car door - car door close03",,,
"car door - car door move end01",,,
"car door - car door move end02",,,
"car door - car door move end03",,,
"car door - car door move loop",,,
"car door - car door open01",,,
"car door - car door open02",,,
"car door - car door open03",,,
"cat01","[cat meowing]",,
"cat02","[cat meowing]",,
"Ceramic Medium - Break - Heavy01",,,
"Ceramic Medium - Break - Heavy02",,,
"Ceramic Medium - Break - Heavy03",,,
"Ceramic Medium - Break - Light01",,,
"Ceramic Medium - Break - Light02",,,
"Ceramic Medium - Break - Light03",,,
"Ceramic Medium - Break - Medium01",,,
"Ceramic Medium - Break - Medium02",,,
"Ceramic Medium - Break - Medium03",,,
"Ceramic Medium - Destroy01","[ceramic object breaking]",,
"Ceramic Medium - Destroy02","[ceramic object breaking]",,
"Ceramic Medium - Destroy03","[ceramic object breaking]",,
"Ceramic Medium - Impact - Heavy01",,,
"Ceramic Medium - Impact - Heavy02",,,
"Ceramic Medium - Impact - Heavy03",,,
"Ceramic Medium - Impact - Light01",,,
"Ceramic Medium - Impact - Light02",,,
"Ceramic Medium - Impact - Light03",,,
"Ceramic Medium - Impact - Medium01",,,
"Ceramic Medium - Impact - Medium02",,,
"Ceramic Medium - Impact - Medium03",,,
"Ceramic Small - Break - Heavy01",,,
"Ceramic Small - Break - Heavy02",,,
"Ceramic Small - Break - Heavy03",,,
"Ceramic Small - Break - Light01",,,
"Ceramic Small - Break - Light02",,,
"Ceramic Small - Break - Light03",,,
"Ceramic Small - Break - Medium01",,,
"Ceramic Small - Break - Medium02",,,
"Ceramic Small - Break - Medium03",,,
"Ceramic Small - Destroy01","[ceramic object breaking]",,
"Ceramic Small - Destroy02","[ceramic object breaking]",,
"Ceramic Small - Destroy03","[ceramic object breaking]",,
"Ceramic Small - Impact - Heavy01",,,
"Ceramic Small - Impact - Heavy02",,,
"Ceramic Small - Impact - Heavy03",,,
"Ceramic Small - Impact - Light01",,,
"Ceramic Small - Impact - Light02",,,
"Ceramic Small - Impact - Light03",,,
"Ceramic Small - Impact - Medium01",,,
"Ceramic Small - Impact - Medium02",,,
"Ceramic Small - Impact - Medium03",,,
"champagne cork pop","[champagne bottle pops!]",,
"champagne loop","[champagne bottle sound]",,
"charging station end",,,
"charging station loop",,,
"charging station start",,,
"chest close heavy01",,,
"chest close heavy02",,,
"chest close heavy03",,,
"chest close01",,,
"chest close02",,,
"chest close03",,,
"chest hinge break01","[chest hinge breaks]",,
"chest hinge break02","[chest hinge breaks]",,
"chest hinge break03","[chest hinge breaks]",,
"chest open01",,,
"chest open02",,,
"chest open03",,,
"choir test1",,,
"choir test2",,,
"chomp book bite01","[chomp book bite]",,
"chomp book bite02","[chomp book bite]",,
"chomp book bite03","[chomp book bite]",,
"Clay Pot - Impact - Destroy01","[clay pot breaking]",,
"Clay Pot - Impact - Destroy02","[clay pot breaking]",,
"Clay Pot - Impact - Destroy03","[clay pot breaking]",,
"Clay Pot - Impact - Heavy01",,,
"Clay Pot - Impact - Heavy02",,,
"Clay Pot - Impact - Heavy03",,,
"Clay Pot - Impact - Light01",,,
"Clay Pot - Impact - Light02",,,
"Clay Pot - Impact - Light03",,,
"Clay Pot - Impact - Medium01",,,
"Clay Pot - Impact - Medium02",,,
"Clay Pot - Impact - Medium03",,,
"clown arm raise",,,
"clown head spin",,,
"clown nose honk","[clown doll]: HONK!",,
"clown warning loop","[clown doll]: You shouldn't have done that! You shouldn't have done that!",,
"clown warning vo1","[clown doll]: Huh-Huh-Ha-Ha-Huh, don't touch my nose!",,
"clown warning vo2","[clown doll]: Huh, don't do it again!",,
"Computer - Break - Heavy01",,,
"Computer - Break - Heavy02",,,
"Computer - Break - Heavy03",,,
"Computer - Break - Light01",,,
"Computer - Break - Light02",,,
"Computer - Break - Light03",,,
"Computer - Break - Medium01",,,
"Computer - Break - Medium02",,,
"Computer - Break - Medium03",,,
"Computer - Impact - Heavy01",,,
"Computer - Impact - Heavy02",,,
"Computer - Impact - Heavy03",,,
"Computer - Impact - Light01",,,
"Computer - Impact - Light02",,,
"Computer - Impact - Light03",,,
"Computer - Impact - Medium01",,,
"Computer - Impact - Medium02",,,
"Computer - Impact - Medium03",,,
"Concrete - Break - Heavy01",,,
"Concrete - Break - Heavy02",,,
"Concrete - Break - Heavy03",,,
"Concrete - Break - Light01",,,
"Concrete - Break - Light02",,,
"Concrete - Break - Light03",,,
"Concrete - Break - Medium01",,,
"Concrete - Break - Medium02",,,
"Concrete - Break - Medium03",,,
"Concrete - Destroy01","[concrete object breaking]",,
"Concrete - Impact - Heavy01",,,
"Concrete - Impact - Heavy02",,,
"Concrete - Impact - Heavy03",,,
"Concrete - Impact - Light01",,,
"Concrete - Impact - Light02",,,
"Concrete - Impact - Light03",,,
"Concrete - Impact - Medium01",,,
"Concrete - Impact - Medium02",,,
"Concrete - Impact - Medium03",,,
"concrete wall crack01",,,
"concrete wall crack02",,,
"concrete wall crack03",,,
"cosmetic shop cannons intro",,,
"cosmetic shop cannons outro",,,
"cosmetic shop cannons shoot",,,
"cosmetic shop currency reward",,,
"cosmetic shop machine arrow blink start01",,,
"cosmetic shop machine arrow blink start02",,,
"cosmetic shop machine arrow blink start03",,,
"cosmetic shop machine arrow blink stop01",,,
"cosmetic shop machine arrow blink stop02",,,
"cosmetic shop machine arrow blink stop03",,,
"cosmetic shop machine base screens speed up",,,
"cosmetic shop machine base screens stop",,,
"cosmetic shop machine loop idle",,,
"cosmetic shop machine loop shake",,,
"cosmetic shop plate off",,,
"cosmetic shop plate on",,,
"cosmetic shop screen cosmetic frame intro",,,
"cosmetic shop screen cosmetic frame outro",,,
"cosmetic shop screen cosmetic intro",,,
"cosmetic shop screen cosmetic outro",,,
"cosmetic shop screen cosmetic reward common",,,
"cosmetic shop screen cosmetic reward rare",,,
"cosmetic shop screen cosmetic reward ultrarare",,,
"cosmetic shop screen cosmetic reward uncommon",,,
"cosmetic shop screen icon switch intro",,,
"cosmetic shop screen icon switch outro",,,
"cosmetic shop token fly",,,
"cosmetic shop token impact","",,
"cosmetic shop token insert","[coin insert sound]",,
"cosmetic shop token spawn",,,
"cosmetic shop token twirl",,,
"cosmetic world object button press",,,
"cosmetic world object button release",,,
"cosmetic world object extraction blink",,,
"cosmetic world object heal blink",,,
"cosmetic world object health beep high","[beeping]",,
"cosmetic world object health beep low","[beeping]",,
"cosmetic world object health beep medium","[beeping]",,
"cosmetic world object ring move01",,,
"cosmetic world object ring move02",,,
"cosmetic world object ring move03",,,
"death head negative",,,
"death head positive",,,
"death pit save loop",,,
"Debug Talking Loop",,,
"Device Shutdown",,,
"Device Turn On",,,
"door close01",,,
"door close02",,,
"door close03",,,
"door creak end01",,,
"door creak end02",,,
"door creak end03",,,
"door creak loop","[door creaking]",,
"door explode01","[door shatters]",,
"door explode02","[door shatters]",,
"door explode03","[door shatters]",,
"door hinge break01","[door hinge breaking]",,
"door hinge break02","[door hinge breaking]",,
"door hinge break03","[door hinge breaking]",,
"door hit heavy01",,,
"door hit heavy02",,,
"door hit heavy03",,,
"door hit01",,,
"door hit02",,,
"door hit03",,,
"door hit04",,,
"door open01",,,
"door open02",,,
"door open03",,,
"door sprint open01",,,
"door sprint open02",,,
"door sprint open03",,,
"Drone Beam Loop",,,
"Drone Boot",,,
"Drone Close",,,
"Drone Deploy",,,
"Drone Idle Loop",,,
"Drone Shutdown",,,
"Egg - Impact - Light01",,,
"Egg - Impact - Light02",,,
"Egg - Impact - Light03",,,
"Egg - Impact - Medium01",,,
"Egg - Impact - Medium02",,,
"Egg - Impact - Medium03",,,
"electricity loop01",,,
"electricity zap medium01","[zaps]",,
"electricity zap medium02","[zaps]",,
"electricity zap medium03","[zaps]",,
"electricity zap small01","[zaps]",,
"electricity zap small02","[zaps]",,
"electricity zap small03","[zaps]",,
"elevator",,,
"enemy animal attack loop","[animal attacks!]",,
"enemy animal attack start",,,
"enemy animal attack stop",,,
"enemy animal death","[animal death]",,
"enemy animal despawn",,,
"enemy animal hurt01",,,
"enemy animal hurt02",,,
"enemy animal hurt03",,,
"enemy animal jump01",,,
"enemy animal jump02",,,
"enemy animal jump03",,,
"enemy animal land01",,,
"enemy animal land02",,,
"enemy animal land03",,,
"enemy animal notice01","[animal notices!]",,
"enemy animal notice02","[animal notices!]",,
"enemy animal notice03","[animal notices!]",,
"enemy bang attack breaker vo01",,,
"enemy bang attack breaker vo02",,,
"enemy bang attack breaker vo03",,,
"enemy bang attack breaker vo04",,,
"enemy bang attack breaker vo05",,,
"enemy bang death01","[banger death]",,
"enemy bang death02","[banger death]",,
"enemy bang death03","[banger death]",,
"enemy bang explode tell vo01","[explosion!]",,
"enemy bang explode tell vo02","[explosion!]",,
"enemy bang explode tell vo03","[explosion!]",,
"enemy bang fuse ignite01","[banger fuse ignites]",,
"enemy bang fuse ignite02","[banger fuse ignites]",,
"enemy bang fuse ignite03","[banger fuse ignites]",,
"enemy bang fuse loop",,,
"enemy bang fuse tell vo01",,,
"enemy bang fuse tell vo02",,,
"enemy bang fuse tell vo03",,,
"enemy bang hurt vo01",,,
"enemy bang hurt vo02",,,
"enemy bang hurt vo03",,,
"enemy bang idle breaker vo01",,,
"enemy bang idle breaker vo02",,,
"enemy bang idle breaker vo03",,,
"enemy bang idle breaker vo04",,,
"enemy bang idle breaker vo05",,,
"enemy bang impact heavy01",,,
"enemy bang impact heavy02",,,
"enemy bang impact heavy03",,,
"enemy bang impact light01",,,
"enemy bang impact light02",,,
"enemy bang impact light03",,,
"enemy bang impact medium01",,,
"enemy bang impact medium02",,,
"enemy bang impact medium03",,,
"enemy bang jump vo01",,,
"enemy bang jump vo02",,,
"enemy bang jump vo03",,,
"enemy bang jump01",,,
"enemy bang jump02",,,
"enemy bang jump03",,,
"enemy bang land vo01",,,
"enemy bang land vo02",,,
"enemy bang land vo03",,,
"enemy bang move footstep01",,,
"enemy bang move footstep02",,,
"enemy bang move footstep03",,,
"enemy bang move land01",,,
"enemy bang move land02",,,
"enemy bang move land03",,,
"enemy bang move long01",,,
"enemy bang move long02",,,
"enemy bang move long03",,,
"enemy bang move short01",,,
"enemy bang move short02",,,
"enemy bang move short03",,,
"enemy bang stun intro vo01",,,
"enemy bang stun intro vo02",,,
"enemy bang stun intro vo03",,,
"enemy bang stun outro vo01",,,
"enemy bang stun outro vo02",,,
"enemy bang stun outro vo03",,,
"enemy bang stun vo loop",,,
"enemy beamer attack intro",,,
"enemy beamer attack loop",,,
"enemy beamer attack outro",,,
"enemy beamer death","[clown death]",,
"enemy beamer footstep big01",,,
"enemy beamer footstep big02",,,
"enemy beamer footstep big03",,,
"enemy beamer footstep huge01",,,
"enemy beamer footstep huge02",,,
"enemy beamer footstep huge03",,,
"enemy beamer footstep small01",,,
"enemy beamer footstep small02",,,
"enemy beamer footstep small03",,,
"enemy beamer hurt01",,,
"enemy beamer hurt02",,,
"enemy beamer hurt03",,,
"enemy beamer jump",,,
"enemy beamer land",,,
"enemy beamer laser end global",,,
"enemy beamer laser end",,,
"enemy beamer laser grace01","[laser charges]",,
"enemy beamer laser grace02","[laser charges]",,
"enemy beamer laser grace03","[laser charges]",,
"enemy beamer laser hit end",,,
"enemy beamer laser hit loop",,,
"enemy beamer laser hit start",,,
"enemy beamer laser loop","[laser fires]",,
"enemy beamer laser start global",,,
"enemy beamer laser start","[laser fires]",,
"enemy beamer melee kick","[clown kicks!]",,
"enemy beamer melee tell",,,
"enemy beamer move long01",,,
"enemy beamer move long02",,,
"enemy beamer move long03",,,
"enemy beamer move short01",,,
"enemy beamer move short02",,,
"enemy beamer move short03",,,
"enemy beamer stun intro",,,
"enemy beamer stun loop",,,
"enemy beamer stun outro",,,
"enemy birthday boy attack woosh01","[birthday boy swooshes]",,
"enemy birthday boy attack woosh02","[birthday boy swooshes]",,
"enemy birthday boy attack woosh03","[birthday boy swooshes]",,
"enemy birthday boy balloon blowing01","[birthday boy blows up balloon] ",,
"enemy birthday boy balloon blowing02","[birthday boy blows up balloon] ",,
"enemy birthday boy balloon blowing03","[birthday boy blows up balloon] ",,
"enemy birthday boy balloon pop global01",,,
"enemy birthday boy balloon pop global02",,,
"enemy birthday boy balloon pop global03",,,
"enemy birthday boy balloon pop01","[balloon pops!]",,
"enemy birthday boy balloon pop02","[balloon pops!]",,
"enemy birthday boy balloon pop03","[balloon pops!]",,
"enemy birthday boy balloon tying01",,,
"enemy birthday boy balloon tying02",,,
"enemy birthday boy balloon tying03",,,
"enemy birthday boy breathing attack loop",,,
"enemy birthday boy breathing loop",,,
"enemy birthday boy breathing run loop",,,
"enemy birthday boy death01",,,
"enemy birthday boy death02",,,
"enemy birthday boy death03",,,
"enemy birthday boy footstep global01",,,
"enemy birthday boy footstep global02",,,
"enemy birthday boy footstep global03",,,
"enemy birthday boy footstep hard global01",,,
"enemy birthday boy footstep hard global02",,,
"enemy birthday boy footstep hard global03",,,
"enemy birthday boy hurt01",,,
"enemy birthday boy hurt02",,,
"enemy birthday boy hurt03",,,
"enemy birthday boy idle breaker01",,,
"enemy birthday boy idle breaker02",,,
"enemy birthday boy idle breaker03",,,
"enemy birthday boy idle breaker04",,,
"enemy birthday boy inhale01",,,
"enemy birthday boy inhale02",,,
"enemy birthday boy inhale03",,,
"enemy birthday boy jump01",,,
"enemy birthday boy jump02",,,
"enemy birthday boy jump03",,,
"enemy birthday boy land01",,,
"enemy birthday boy land02",,,
"enemy birthday boy land03",,,
"enemy birthday boy move long01",,,
"enemy birthday boy move long02",,,
"enemy birthday boy move long03",,,
"enemy birthday boy move01",,,
"enemy birthday boy move02",,,
"enemy birthday boy move03",,,
"enemy birthday boy neck crack01","[neck snapping]",,
"enemy birthday boy neck crack02","[neck cracking]",,
"enemy birthday boy neck crack03","[neck creaking loudly]",,
"enemy birthday boy notice01","[birthday boy notices!]",,
"enemy birthday boy notice02","[birthday boy notices!]",,
"enemy birthday boy notice03","[birthday boy notices!]",,
"enemy bomb thrower - death","[cleanup crew death]",,
"enemy bomb thrower - footstep boot heavy01",,,
"enemy bomb thrower - footstep boot heavy02",,,
"enemy bomb thrower - footstep boot heavy03",,,
"enemy bomb thrower - footstep boot01",,,
"enemy bomb thrower - footstep boot02",,,
"enemy bomb thrower - footstep boot03",,,
"enemy bomb thrower - footstep skin heavy01",,,
"enemy bomb thrower - footstep skin heavy02",,,
"enemy bomb thrower - footstep skin heavy03",,,
"enemy bomb thrower - footstep skin01",,,
"enemy bomb thrower - footstep skin02",,,
"enemy bomb thrower - footstep skin03",,,
"enemy bomb thrower - head detach tell",,,
"enemy bomb thrower - head detach","[cleanup crew removes head]",,
"enemy bomb thrower - head explosion tell",,,
"enemy bomb thrower - head explosion","[explosion!]",,
"enemy bomb thrower - head grow1",,,
"enemy bomb thrower - head grow2",,,
"enemy bomb thrower - head grow3",,,
"enemy bomb thrower - head laughing loop","[laughing]",,
"enemy bomb thrower - hurt01",,,
"enemy bomb thrower - hurt02",,,
"enemy bomb thrower - hurt03",,,
"enemy bomb thrower - jump",,,
"enemy bomb thrower - land",,,
"enemy bomb thrower - move long01",,,
"enemy bomb thrower - move long02",,,
"enemy bomb thrower - move long03",,,
"enemy bomb thrower - move short01",,,
"enemy bomb thrower - move short02",,,
"enemy bomb thrower - move short03",,,
"enemy bomb thrower - teleport in",,,
"enemy bomb thrower - teleport out",,,
"enemy bomb thrower - torso heads breaker00_01",,,
"enemy bomb thrower - torso heads breaker00_02",,,
"enemy bomb thrower - torso heads breaker00_03",,,
"enemy bomb thrower - torso heads breaker10_01",,,
"enemy bomb thrower - torso heads breaker10_02",,,
"enemy bomb thrower - torso heads breaker10_03",,,
"enemy bomb thrower - torso heads breaker11_01",,,
"enemy bomb thrower - torso heads breaker11_02",,,
"enemy bomb thrower - torso heads breaker11_03",,,
"enemy bomb thrower - torso heads breaker1_01",,,
"enemy bomb thrower - torso heads breaker1_02",,,
"enemy bomb thrower - torso heads breaker1_03",,,
"enemy bomb thrower - torso heads breaker2_01",,,
"enemy bomb thrower - torso heads breaker2_02",,,
"enemy bomb thrower - torso heads breaker2_03",,,
"enemy bomb thrower - torso heads breaker3_01",,,
"enemy bomb thrower - torso heads breaker3_02",,,
"enemy bomb thrower - torso heads breaker3_03",,,
"enemy bomb thrower - torso heads breaker4_01",,,
"enemy bomb thrower - torso heads breaker4_02",,,
"enemy bomb thrower - torso heads breaker4_03",,,
"enemy bomb thrower - torso heads breaker5_01",,,
"enemy bomb thrower - torso heads breaker5_02",,,
"enemy bomb thrower - torso heads breaker5_03",,,
"enemy bomb thrower - torso heads breaker6_01",,,
"enemy bomb thrower - torso heads breaker6_02",,,
"enemy bomb thrower - torso heads breaker6_03",,,
"enemy bomb thrower - torso heads breaker7_01",,,
"enemy bomb thrower - torso heads breaker7_02",,,
"enemy bomb thrower - torso heads breaker7_03",,,
"enemy bomb thrower - torso heads breaker8_01",,,
"enemy bomb thrower - torso heads breaker8_02",,,
"enemy bomb thrower - torso heads breaker8_03",,,
"enemy bomb thrower - torso heads breaker9_01",,,
"enemy bomb thrower - torso heads breaker9_02",,,
"enemy bomb thrower - torso heads breaker9_03",,,
"enemy bomb thrower - torso heads close multiple01",,,
"enemy bomb thrower - torso heads close multiple02",,,
"enemy bomb thrower - torso heads close multiple03",,,
"enemy bomb thrower - torso heads close solo01",,,
"enemy bomb thrower - torso heads close solo02",,,
"enemy bomb thrower - torso heads close solo03",,,
"enemy bomb thrower - torso heads idle loop",,,
"enemy bomb thrower - torso heads melee",,,
"enemy bomb thrower - torso heads open multiple01",,,
"enemy bomb thrower - torso heads open multiple02",,,
"enemy bomb thrower - torso heads open multiple03",,,
"enemy bomb thrower - torso heads open solo01",,,
"enemy bomb thrower - torso heads open solo02",,,
"enemy bomb thrower - torso heads open solo03",,,
"enemy bomb thrower - torso heads scream global",,,
"enemy bomb thrower - torso heads scream","[cleanup crew screams]",,
"enemy bomb thrower - torso heads screaming loop end",,,
"enemy bomb thrower - torso heads screaming loop start",,,
"enemy bomb thrower - torso heads screaming loop",,,
"enemy bowtie death","[bowtie death]",,
"enemy bowtie despawn ding",,,
"enemy bowtie despawn",,,
"enemy bowtie foostep01",,,
"enemy bowtie foostep02",,,
"enemy bowtie foostep03",,,
"enemy bowtie hurt01",,,
"enemy bowtie hurt02",,,
"enemy bowtie hurt03",,,
"enemy bowtie move long01",,,
"enemy bowtie move long02",,,
"enemy bowtie move long03",,,
"enemy bowtie move short01",,,
"enemy bowtie move short02",,,
"enemy bowtie move short03",,,
"enemy bowtie roaming loop",,,
"enemy bowtie scream loop global",,,
"enemy bowtie scream loop","[bowtie screams!]",,
"enemy bowtie scream start global",,,
"enemy bowtie scream stop global",,,
"enemy bowtie stun loop",,,
"enemy ceiling eye blink01",,,
"enemy ceiling eye blink02",,,
"enemy ceiling eye blink03",,,
"enemy ceiling eye despawn",,,
"enemy ceiling eye laser buildup",,,
"enemy ceiling eye laser",,,
"enemy ceiling eye spawn",,,
"enemy ceiling eye stare loop twitching",,,
"enemy ceiling eye staring loop",,,
"enemy ceiling eye staring start",,,
"enemy duck attack loop",,,
"enemy duck bite01","[apex predator bites!]",,
"enemy duck bite02","[apex predator bites!]",,
"enemy duck bite03","[apex predator bites!]",,
"enemy duck bite04","[apex predator bites!]",,
